runid: 21342433
CPUs available: 56
Disorder: (0.0005, 20)
Disorder size: 20
Unoptimised score: 23.859797049631403
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=367173, Sat Mar 29 13:18:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  103   5768 1.936779773256128e+01 7.4e+02 2.42e-02  7e-05  1e-03 1103:22.7
  104   5824 1.936772823422622e+01 7.5e+02 2.14e-02  6e-05  9e-04 1114:06.8
  105   5880 1.936768258871185e+01 7.8e+02 1.97e-02  5e-05  7e-04 1124:50.9
  106   5936 1.936768492104101e+01 7.3e+02 1.83e-02  4e-05  7e-04 1135:30.6
  107   5992 1.936770528229301e+01 7.9e+02 1.89e-02  4e-05  7e-04 1146:11.2
  108   6048 1.936761549932716e+01 8.8e+02 1.75e-02  4e-05  6e-04 1156:51.6
  109   6104 1.936766600634555e+01 9.3e+02 1.67e-02  3e-05  6e-04 1167:36.1
  110   6160 1.936766026601497e+01 1.0e+03 1.86e-02  4e-05  6e-04 1178:19.1
  111   6216 1.936760581363295e+01 1.0e+03 1.87e-02  4e-05  6e-04 1188:59.2
  112   6272 1.936758915884005e+01 1.1e+03 1.82e-02  4e-05  5e-04 1199:38.4
  113   6328 1.936757667331848e+01 1.1e+03 1.60e-02  3e-05  4e-04 1210:19.7
  114   6384 1.936757861772990e+01 1.0e+03 1.56e-02  3e-05  4e-04 1221:00.9
  115   6440 1.936757025767173e+01 1.2e+03 1.37e-02  2e-05  4e-04 1231:42.2
  116   6496 1.936756876806396e+01 1.1e+03 1.23e-02  2e-05  3e-04 1242:23.1
  117   6552 1.936755014051621e+01 1.1e+03 1.33e-02  2e-05  3e-04 1253:07.9
  118   6608 1.936753531541440e+01 1.2e+03 1.22e-02  2e-05  3e-04 1263:47.8
  119   6664 1.936751996673400e+01 1.2e+03 1.14e-02  1e-05  3e-04 1274:28.1
  120   6720 1.936752714692468e+01 1.2e+03 1.12e-02  1e-05  3e-04 1285:09.5
  121   6776 1.936752610100792e+01 1.4e+03 9.85e-03  1e-05  2e-04 1295:53.9
  122   6832 1.936753293424809e+01 1.4e+03 9.93e-03  1e-05  2e-04 1306:37.8
  123   6888 1.936751764464034e+01 1.5e+03 9.46e-03  9e-06  2e-04 1317:22.3
  124   6944 1.936750749629816e+01 1.5e+03 1.06e-02  1e-05  2e-04 1328:05.9
  125   7000 1.936751433488116e+01 1.5e+03 1.09e-02  1e-05  2e-04 1338:50.0
  126   7056 1.936750988900229e+01 1.5e+03 1.01e-02  9e-06  2e-04 1349:34.8
  127   7112 1.936750778187357e+01 1.6e+03 9.55e-03  8e-06  2e-04 1360:16.4
  128   7168 1.936750243408011e+01 1.6e+03 9.36e-03  8e-06  2e-04 1370:59.6
