CPUs available: 56
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=648028, Thu Mar 20 18:26:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  105   5880 1.788504729841998e+01 1.6e+03 1.20e-02  2e-05  1e-03 1109:03.0
  106   5936 1.788504289901846e+01 1.6e+03 9.74e-03  1e-05  1e-03 1119:35.5
  107   5992 1.788504053125606e+01 1.7e+03 8.67e-03  1e-05  9e-04 1130:12.3
  108   6048 1.788503885987777e+01 1.8e+03 8.02e-03  1e-05  7e-04 1140:48.0
  109   6104 1.788503715112237e+01 1.8e+03 9.03e-03  1e-05  8e-04 1151:19.2
  110   6160 1.788503561550291e+01 2.0e+03 9.90e-03  1e-05  1e-03 1161:54.3
  111   6216 1.788503664279722e+01 2.6e+03 1.00e-02  1e-05  1e-03 1172:28.0
  112   6272 1.788503389358333e+01 2.6e+03 1.01e-02  1e-05  9e-04 1183:03.8
  113   6328 1.788503580203240e+01 2.8e+03 9.84e-03  1e-05  9e-04 1193:37.3
  114   6384 1.788503446996351e+01 2.9e+03 8.58e-03  1e-05  7e-04 1204:10.8
  115   6440 1.788503529367465e+01 3.0e+03 7.78e-03  9e-06  6e-04 1214:46.3
  116   6496 1.788503433476161e+01 3.1e+03 7.21e-03  8e-06  5e-04 1225:20.3
  117   6552 1.788503380551499e+01 3.4e+03 6.87e-03  7e-06  5e-04 1235:54.9
  118   6608 1.788503387616473e+01 3.7e+03 6.18e-03  7e-06  4e-04 1246:34.5
  119   6664 1.788503305625711e+01 4.0e+03 5.75e-03  6e-06  4e-04 1257:04.4
  120   6720 1.788503312652299e+01 4.5e+03 5.47e-03  6e-06  4e-04 1267:34.5
  121   6776 1.788503347029607e+01 5.0e+03 5.56e-03  5e-06  4e-04 1278:08.1
  122   6832 1.788503304293094e+01 4.7e+03 4.83e-03  4e-06  3e-04 1288:39.0
  123   6888 1.788503265946086e+01 4.8e+03 4.98e-03  5e-06  3e-04 1299:18.5
  124   6944 1.788503257890146e+01 4.9e+03 5.19e-03  5e-06  3e-04 1309:48.9
  125   7000 1.788503264404555e+01 5.9e+03 4.78e-03  4e-06  3e-04 1320:23.1
  126   7056 1.788503272858159e+01 5.8e+03 4.39e-03  4e-06  2e-04 1331:01.8
  127   7112 1.788503232261763e+01 6.3e+03 4.20e-03  4e-06  2e-04 1341:36.1
  128   7168 1.788503219898826e+01 6.6e+03 3.79e-03  3e-06  2e-04 1352:09.8
  129   7224 1.788503227332474e+01 7.2e+03 3.55e-03  3e-06  2e-04 1362:45.9
  130   7280 1.788503223309305e+01 8.0e+03 3.67e-03  3e-06  2e-04 1373:19.8
  131   7336 1.788503226337887e+01 9.0e+03 3.48e-03  3e-06  2e-04 1383:53.6
  132   7392 1.788503227078415e+01 9.6e+03 3.02e-03  2e-06  1e-04 1394:26.9
  133   7448 1.788503217821562e+01 1.0e+04 2.95e-03  2e-06  1e-04 1405:02.0
  134   7504 1.788503218229864e+01 1.1e+04 2.76e-03  2e-06  1e-04 1415:34.8
  135   7560 1.788503215264656e+01 1.2e+04 2.41e-03  2e-06  1e-04 1426:12.3
  136   7616 1.788503209369390e+01 1.3e+04 2.49e-03  2e-06  9e-05 1436:48.7
  137   7672 1.788503209997183e+01 1.4e+04 2.24e-03  1e-06  8e-05 1447:22.1
  138   7728 1.788503209451805e+01 1.5e+04 2.01e-03  1e-06  8e-05 1457:57.3
  139   7784 1.788503209070544e+01 1.7e+04 1.86e-03  1e-06  7e-05 1468:33.0
  140   7840 1.788503206587763e+01 1.8e+04 1.68e-03  1e-06  7e-05 1479:11.2
  141   7896 1.788503205515363e+01 2.1e+04 1.54e-03  9e-07  6e-05 1489:43.2
  142   7952 1.788503207506200e+01 2.2e+04 1.55e-03  9e-07  6e-05 1500:17.2
  143   8008 1.788503206224519e+01 2.4e+04 1.60e-03  9e-07  6e-05 1510:53.5
  144   8064 1.788503206871674e+01 2.6e+04 1.54e-03  9e-07  5e-05 1521:26.9
  145   8120 1.788503206125127e+01 2.7e+04 1.58e-03  9e-07  6e-05 1532:03.6
