runid: 21362542
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=713406, Wed Apr  2 19:05:20 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  108   6048 1.779278790650334e+01 6.6e+02 2.25e-02  2e-05  8e-04 1139:24.9
  109   6104 1.779279910873523e+01 6.5e+02 2.26e-02  2e-05  9e-04 1149:55.9
  110   6160 1.779275692881021e+01 7.4e+02 2.14e-02  2e-05  8e-04 1160:31.0
  111   6216 1.779276784929058e+01 8.1e+02 1.91e-02  1e-05  7e-04 1171:00.8
  112   6272 1.779274502904708e+01 9.0e+02 1.79e-02  1e-05  6e-04 1181:34.2
  113   6328 1.779276099384818e+01 9.7e+02 1.56e-02  9e-06  5e-04 1192:07.4
  114   6384 1.779274618724378e+01 1.0e+03 1.44e-02  8e-06  5e-04 1202:44.1
  115   6440 1.779274594753932e+01 1.1e+03 1.51e-02  8e-06  5e-04 1213:14.3
  116   6496 1.779274602554153e+01 1.2e+03 1.49e-02  8e-06  5e-04 1223:46.1
  117   6552 1.779274148061771e+01 1.5e+03 1.35e-02  6e-06  5e-04 1234:18.1
  118   6608 1.779273759772688e+01 1.7e+03 1.21e-02  5e-06  5e-04 1244:50.4
  119   6664 1.779273325181645e+01 1.8e+03 1.10e-02  5e-06  4e-04 1255:23.1
  120   6720 1.779273547009522e+01 2.0e+03 1.04e-02  4e-06  4e-04 1265:56.8
  121   6776 1.779273553478145e+01 2.3e+03 1.05e-02  4e-06  4e-04 1276:26.7
  122   6832 1.779273512417531e+01 2.5e+03 9.32e-03  4e-06  3e-04 1286:59.1
  123   6888 1.779273314401511e+01 2.6e+03 9.72e-03  4e-06  4e-04 1297:30.7
  124   6944 1.779273089967791e+01 3.2e+03 7.95e-03  3e-06  3e-04 1308:08.2
  125   7000 1.779273116226707e+01 3.5e+03 7.86e-03  3e-06  3e-04 1318:41.0
  126   7056 1.779273097146261e+01 3.9e+03 8.16e-03  3e-06  3e-04 1329:12.3
  127   7112 1.779273172105032e+01 4.4e+03 7.34e-03  2e-06  3e-04 1339:44.9
  128   7168 1.779273057679697e+01 4.9e+03 6.59e-03  2e-06  3e-04 1350:16.5
  129   7224 1.779272915421816e+01 5.2e+03 6.64e-03  2e-06  3e-04 1360:47.8
  130   7280 1.779273003515206e+01 5.9e+03 5.96e-03  2e-06  2e-04 1371:18.7
  131   7336 1.779272957079228e+01 6.7e+03 5.48e-03  1e-06  2e-04 1381:53.1
  132   7392 1.779272923856988e+01 6.5e+03 5.42e-03  1e-06  2e-04 1392:21.8
  133   7448 1.779272888504925e+01 7.3e+03 5.44e-03  1e-06  2e-04 1402:54.0
  134   7504 1.779272889797974e+01 8.0e+03 5.03e-03  1e-06  2e-04 1413:24.1
  135   7560 1.779272858200820e+01 8.3e+03 5.06e-03  1e-06  2e-04 1423:56.8
  136   7616 1.779272867284643e+01 8.9e+03 5.96e-03  1e-06  2e-04 1434:33.6
  137   7672 1.779272815473096e+01 1.1e+04 6.36e-03  2e-06  2e-04 1445:05.5
termination on timeout=86400
final/bestever f-value = 1.779273e+01 1.779273e+01 after 7672/7665 evaluations
incumbent solution: [0.3477165740858478, 0.20095893273304927, 0.41995399724783283, -1.1852739107598846, 0.1266616788655647, 0.005407614038616711, -0.06549735813154574, -0.04445365643546608]
std deviation: [0.00012695484426609392, 1.5109298664660948e-06, 7.429308878042682e-05, 7.934839530223333e-05, 3.8741536279184424e-05, 3.132462634326124e-05, 0.00023472747980117379, 0.0001870951089246214]
