CPUs available: 56
Disorder: (0.0005, 30)
Disorder size: 30
Unoptimised score: 23.10418081243911
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=976475, Tue Mar 25 04:17:24 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  109   6104 1.775242317900373e+01 2.9e+02 1.32e-02  1e-05  2e-04 1308:51.6
  110   6160 1.775241796559809e+01 3.4e+02 1.25e-02  1e-05  2e-04 1320:48.6
  111   6216 1.775240800408611e+01 3.7e+02 1.06e-02  9e-06  2e-04 1332:48.6
  112   6272 1.775240755029919e+01 4.0e+02 9.82e-03  8e-06  2e-04 1344:49.5
  113   6328 1.775240651625901e+01 4.2e+02 1.11e-02  9e-06  2e-04 1356:49.0
  114   6384 1.775240446128335e+01 4.8e+02 1.03e-02  9e-06  2e-04 1368:51.2
  115   6440 1.775240681924731e+01 5.4e+02 9.98e-03  8e-06  2e-04 1380:52.8
  116   6496 1.775240217204857e+01 5.9e+02 9.40e-03  7e-06  1e-04 1392:55.9
  117   6552 1.775239856601619e+01 6.2e+02 1.02e-02  7e-06  1e-04 1404:57.4
  118   6608 1.775240038727179e+01 7.1e+02 9.23e-03  6e-06  1e-04 1416:56.4
  119   6664 1.775239792804415e+01 7.3e+02 8.69e-03  5e-06  1e-04 1428:54.8
  120   6720 1.775239550262770e+01 7.4e+02 7.86e-03  4e-06  1e-04 1440:54.9
  121   6776 1.775239712866834e+01 7.6e+02 7.95e-03  4e-06  1e-04 1452:53.5
  122   6832 1.775239610099549e+01 8.6e+02 7.58e-03  4e-06  9e-05 1464:52.1
  123   6888 1.775239455888700e+01 8.9e+02 6.72e-03  3e-06  8e-05 1476:55.3
  124   6944 1.775239354420253e+01 9.6e+02 5.87e-03  3e-06  7e-05 1488:58.9
  125   7000 1.775239428727103e+01 1.0e+03 6.04e-03  2e-06  6e-05 1501:01.5
  126   7056 1.775239360370393e+01 9.3e+02 5.78e-03  2e-06  6e-05 1513:01.1
  127   7112 1.775239367525899e+01 9.7e+02 5.27e-03  2e-06  5e-05 1525:01.2
  128   7168 1.775239348619413e+01 9.2e+02 4.77e-03  1e-06  4e-05 1537:00.3
  129   7224 1.775239217880346e+01 1.0e+03 4.58e-03  1e-06  4e-05 1549:00.1
  130   7280 1.775239208040911e+01 1.0e+03 4.18e-03  1e-06  3e-05 1561:03.4
  131   7336 1.775239234579389e+01 1.1e+03 3.88e-03  1e-06  3e-05 1573:04.5
  132   7392 1.775239228819867e+01 1.1e+03 3.77e-03  9e-07  3e-05 1585:04.1
  133   7448 1.775239158400270e+01 1.1e+03 3.65e-03  9e-07  3e-05 1597:03.6
  134   7504 1.775239158302407e+01 1.3e+03 3.70e-03  9e-07  3e-05 1609:03.6
  135   7560 1.775239149972685e+01 1.6e+03 3.12e-03  8e-07  3e-05 1621:05.5
  136   7616 1.775239108823423e+01 1.7e+03 2.98e-03  7e-07  3e-05 1633:02.9
  137   7672 1.775239132673116e+01 1.8e+03 2.65e-03  6e-07  2e-05 1645:05.8
  138   7728 1.775239111415588e+01 1.9e+03 2.45e-03  5e-07  2e-05 1657:06.4
  139   7784 1.775239084582778e+01 2.0e+03 2.57e-03  5e-07  2e-05 1669:07.6
