runid: 21362563
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=948390, Sat Apr  5 08:52:23 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   92   5152 1.788794549919786e+01 7.2e+01 2.11e-01  6e-04  3e-02 984:52.8
   93   5208 1.788813256989425e+01 7.9e+01 2.03e-01  6e-04  3e-02 995:34.9
   94   5264 1.788739973372211e+01 9.1e+01 1.84e-01  5e-04  2e-02 1006:16.3
   95   5320 1.788637350681557e+01 1.0e+02 1.74e-01  5e-04  2e-02 1016:57.5
   96   5376 1.788632165459416e+01 1.1e+02 1.65e-01  4e-04  2e-02 1027:39.2
   97   5432 1.788603589925233e+01 1.2e+02 1.59e-01  4e-04  2e-02 1038:23.0
   98   5488 1.788610538224584e+01 1.4e+02 1.37e-01  3e-04  1e-02 1049:06.7
   99   5544 1.788579676812044e+01 1.5e+02 1.44e-01  3e-04  1e-02 1059:48.5
  100   5600 1.788579125648253e+01 1.8e+02 1.30e-01  3e-04  1e-02 1070:26.3
  101   5656 1.788554700049934e+01 1.9e+02 1.13e-01  2e-04  1e-02 1081:07.5
  102   5712 1.788532225171189e+01 2.1e+02 1.13e-01  2e-04  1e-02 1091:48.4
  103   5768 1.788532647437934e+01 2.2e+02 1.17e-01  2e-04  1e-02 1102:27.6
  104   5824 1.788543876437666e+01 2.4e+02 1.03e-01  2e-04  8e-03 1113:11.9
  105   5880 1.788529751819073e+01 2.5e+02 8.70e-02  1e-04  6e-03 1123:52.5
  106   5936 1.788528935219275e+01 2.6e+02 8.31e-02  1e-04  6e-03 1134:35.3
  107   5992 1.788521869393105e+01 3.0e+02 7.84e-02  1e-04  6e-03 1145:14.4
  108   6048 1.788520126934320e+01 3.3e+02 7.37e-02  1e-04  5e-03 1156:01.0
  109   6104 1.788513393155817e+01 4.0e+02 8.43e-02  1e-04  7e-03 1166:44.8
  110   6160 1.788518009762800e+01 5.2e+02 8.06e-02  1e-04  7e-03 1177:30.6
  111   6216 1.788515421703713e+01 5.6e+02 8.30e-02  1e-04  7e-03 1188:10.8
  112   6272 1.788515293517927e+01 7.0e+02 8.30e-02  9e-05  7e-03 1198:52.8
  113   6328 1.788513546169431e+01 7.7e+02 7.45e-02  8e-05  6e-03 1209:39.5
  114   6384 1.788510610878311e+01 7.6e+02 6.68e-02  7e-05  5e-03 1220:21.6
  115   6440 1.788511579878464e+01 7.8e+02 5.89e-02  6e-05  4e-03 1231:03.7
  116   6496 1.788508153374971e+01 8.7e+02 6.21e-02  6e-05  4e-03 1241:44.8
  117   6552 1.788508490943570e+01 9.8e+02 6.11e-02  6e-05  4e-03 1252:24.0
  118   6608 1.788507989477383e+01 1.0e+03 7.04e-02  7e-05  4e-03 1263:07.5
  119   6664 1.788507544867489e+01 1.1e+03 6.66e-02  6e-05  4e-03 1273:51.7
  120   6720 1.788506556760272e+01 1.2e+03 5.62e-02  5e-05  3e-03 1284:34.3
  121   6776 1.788506111962180e+01 1.2e+03 5.69e-02  4e-05  3e-03 1295:14.6
  122   6832 1.788506366827974e+01 1.3e+03 5.74e-02  4e-05  3e-03 1305:60.0
  123   6888 1.788504720889617e+01 1.4e+03 5.78e-02  4e-05  2e-03 1316:40.7
  124   6944 1.788505840242922e+01 1.3e+03 5.21e-02  3e-05  2e-03 1327:21.5
  125   7000 1.788505032361345e+01 1.4e+03 4.82e-02  3e-05  2e-03 1338:07.9
  126   7056 1.788505697602745e+01 1.4e+03 4.94e-02  3e-05  2e-03 1348:47.5
  127   7112 1.788505036372232e+01 1.5e+03 4.57e-02  3e-05  1e-03 1359:26.1
  128   7168 1.788505304051182e+01 1.5e+03 4.55e-02  2e-05  1e-03 1370:08.8
  129   7224 1.788504652383383e+01 1.6e+03 4.69e-02  2e-05  1e-03 1380:52.9
